zip,name,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,city,stabbr,cty_name,coastalZip,coastalCounty,ALLCoastalCounty,state
90803,"LONG BEACH, CA",G,9788,G,101628,G,424466,1181,LONG BEACH,CA,LOS ANGELES,1,1,0,California
90804,"LONG BEACH, CA",G,9269,G,102127,G,447621,758,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90805,"LONG BEACH, CA",G,13240,G,202326,G,717754,872,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90806,"LONG BEACH, CA",H,19230,H,390168,H,1601210,890,LONG BEACH,CA,LOS ANGELES,1,1,0,California
90807,"LONG BEACH, CA",G,13363,G,199612,G,800719,1149,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90808,"LONG BEACH, CA",G,12979,G,189272,G,730796,851,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90810,"LONG BEACH, CA",G,13244,G,284608,G,1030392,523,LONG BEACH,CA,LOS ANGELES,1,1,0,California
90813,"LONG BEACH, CA",G,11700,G,173188,G,701078,798,LONG BEACH,CA,LOS ANGELES,1,1,0,California
90814,"LONG BEACH, CA",G,2611,G,24333,G,101403,373,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90815,"LONG BEACH, CA",G,12533,G,155121,G,786436,961,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90822,"LONG BEACH, CA",J,3275,J,132817,J,470401,13,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90831,"LONG BEACH, CA",H,2103,H,73409,H,227986,79,LONG BEACH,CA,LOS ANGELES,0,1,0,California
90840,"LONG BEACH, CA",J,524,J,2529,J,10637,8,LONG BEACH,CA,LOS ANGELES,0,1,0,California
91001,"ALTADENA, CA",G,4913,G,68791,G,282507,752,ALTADENA,CA,LOS ANGELES,0,1,0,California
91006,"ARCADIA, CA",G,14337,G,182971,G,756491,1709,ARCADIA,CA,LOS ANGELES,0,1,0,California
91007,"ARCADIA, CA",G,13715,G,157634,G,645116,1377,ARCADIA,CA,LOS ANGELES,0,1,0,California
91008,"DUARTE, CA",J,82,J,893,J,4131,20,DUARTE,CA,LOS ANGELES,0,1,0,California
91010,"DUARTE, CA",H,16663,H,366026,H,1600756,549,DUARTE,CA,LOS ANGELES,0,1,0,California
91011,"LA CANADA FLINTRIDGE, CA",G,5890,G,77262,G,337716,905,LA CANADA FLINTRIDGE,CA,LOS ANGELES,0,1,0,California
91016,"MONROVIA, CA",G,15929,G,248250,G,963225,1310,MONROVIA,CA,LOS ANGELES,0,1,0,California
91020,"MONTROSE, CA",G,2774,G,30903,G,132674,394,MONTROSE,CA,LOS ANGELES,0,1,0,California
91024,"SIERRA MADRE, CA",G,2210,G,24479,G,99135,352,SIERRA MADRE,CA,LOS ANGELES,0,1,0,California
91030,"SOUTH PASADENA, CA",G,7315,G,84342,G,362576,1018,SOUTH PASADENA,CA,LOS ANGELES,0,1,0,California
91040,"SUNLAND, CA",G,2662,G,27887,G,121196,426,SUNLAND,CA,LOS ANGELES,0,1,0,California
91042,"TUJUNGA, CA",G,2528,G,26235,G,110661,497,TUJUNGA,CA,LOS ANGELES,0,1,0,California
91046,"VERDUGO CITY, CA",G,28,G,263,G,1180,8,VERDUGO CITY,CA,LOS ANGELES,0,1,0,California
91101,"PASADENA, CA",G,26920,G,693792,G,2792541,2134,PASADENA,CA,LOS ANGELES,0,1,0,California
91103,"PASADENA, CA",G,12808,G,247162,G,952772,724,PASADENA,CA,LOS ANGELES,0,1,0,California
91104,"PASADENA, CA",G,4524,G,47994,G,205548,825,PASADENA,CA,LOS ANGELES,0,1,0,California
91105,"PASADENA, CA",G,26124,G,523868,G,2117500,1355,PASADENA,CA,LOS ANGELES,0,1,0,California
91106,"PASADENA, CA",G,6639,G,97998,G,404308,922,PASADENA,CA,LOS ANGELES,0,1,0,California
91107,"PASADENA, CA",G,20121,G,304394,G,1237791,1673,PASADENA,CA,LOS ANGELES,0,1,0,California
91108,"SAN MARINO, CA",G,2933,G,41311,G,177584,653,SAN MARINO,CA,LOS ANGELES,0,1,0,California
91125,"PASADENA, CA",J,4996,J,92348,J,363688,5,PASADENA,CA,LOS ANGELES,0,1,0,California
91201,"GLENDALE, CA",G,10959,G,277782,H,984221,786,GLENDALE,CA,LOS ANGELES,0,1,0,California
91202,"GLENDALE, CA",G,3942,G,47897,G,213875,813,GLENDALE,CA,LOS ANGELES,0,1,0,California
91203,"GLENDALE, CA",G,23231,G,585407,G,2125076,1457,GLENDALE,CA,LOS ANGELES,0,1,0,California
91204,"GLENDALE, CA",G,11402,G,173578,G,696272,1022,GLENDALE,CA,LOS ANGELES,0,1,0,California
91205,"GLENDALE, CA",G,7008,G,88825,G,382832,974,GLENDALE,CA,LOS ANGELES,0,1,0,California
91206,"GLENDALE, CA",H,9622,H,145643,H,638365,854,GLENDALE,CA,LOS ANGELES,0,1,0,California
91207,"GLENDALE, CA",G,1133,G,12671,G,58110,281,GLENDALE,CA,LOS ANGELES,0,1,0,California
91208,"GLENDALE, CA",H,3553,H,53370,H,234491,618,GLENDALE,CA,LOS ANGELES,0,1,0,California
91210,"GLENDALE, CA",G,6109,G,62666,G,254191,289,GLENDALE,CA,LOS ANGELES,0,1,0,California
91214,"LA CRESCENTA, CA",G,4280,G,52622,G,218520,962,LA CRESCENTA,CA,LOS ANGELES,0,1,0,California
91301,"AGOURA HILLS, CA",G,16144,G,543076,G,1726425,1506,AGOURA HILLS,CA,LOS ANGELES,0,1,0,California
91302,"CALABASAS, CA",G,15549,G,368711,G,1509898,2101,CALABASAS,CA,LOS ANGELES,0,1,0,California
91303,"CANOGA PARK, CA",G,13675,G,142327,G,574555,1143,CANOGA PARK,CA,LOS ANGELES,0,1,0,California
91304,"CANOGA PARK, CA",G,12355,G,221519,G,894234,996,CANOGA PARK,CA,LOS ANGELES,0,1,0,California
91306,"WINNETKA, CA",G,4276,G,39942,G,174958,641,WINNETKA,CA,LOS ANGELES,0,1,0,California
91307,"WEST HILLS, CA",G,7812,G,89858,G,393160,888,WEST HILLS,CA,LOS ANGELES,0,1,0,California
91311,"CHATSWORTH, CA",G,35403,G,536297,G,2177352,2101,CHATSWORTH,CA,LOS ANGELES,0,1,0,California
91316,"ENCINO, CA",G,10139,G,131576,G,593887,1628,ENCINO,CA,LOS ANGELES,0,1,0,California
91320,"NEWBURY PARK, CA",G,23516,H,849991,H,2626871,1341,NEWBURY PARK,CA,VENTURA,0,1,0,California
91321,"NEWHALL, CA",G,9863,G,100421,G,423785,882,NEWHALL,CA,LOS ANGELES,0,1,0,California
91324,"NORTHRIDGE, CA",G,17810,G,195044,G,824624,1628,NORTHRIDGE,CA,LOS ANGELES,0,1,0,California
91325,"NORTHRIDGE, CA",H,13305,H,255003,H,994511,829,NORTHRIDGE,CA,LOS ANGELES,0,1,0,California
91326,"PORTER RANCH, CA",G,6272,G,61729,G,268486,800,PORTER RANCH,CA,LOS ANGELES,0,1,0,California
91330,"NORTHRIDGE, CA",J,1505,J,8392,J,37654,17,NORTHRIDGE,CA,LOS ANGELES,0,1,0,California
91331,"PACOIMA, CA",G,12975,G,163876,G,674376,1068,PACOIMA,CA,LOS ANGELES,0,1,0,California
91335,"RESEDA, CA",G,10489,G,113514,G,480030,1411,RESEDA,CA,LOS ANGELES,0,1,0,California
91340,"SAN FERNANDO, CA",G,12354,H,172827,G,678789,842,SAN FERNANDO,CA,LOS ANGELES,0,1,0,California
91342,"SYLMAR, CA",G,22754,H,375331,H,1494580,1314,SYLMAR,CA,LOS ANGELES,0,1,0,California
91343,"NORTH HILLS, CA",G,8139,G,90201,G,385151,855,NORTH HILLS,CA,LOS ANGELES,0,1,0,California
