fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,full_fips,coastalCounty,ALLCoastalCounty
06,095,448140,G,1454,G,7401,G,31767,53,3,9,13,19,8,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44815,J,102,J,694,H,2862,11,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448150,J,102,J,694,H,2862,11,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44819,J,86,H,381,H,1598,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448190,J,86,H,381,H,1598,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4482,G,594,G,3389,G,13215,30,NA,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44821,G,594,G,3389,G,13215,30,NA,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448210,G,594,G,3389,G,13215,30,NA,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4483,H,101,H,896,H,3905,22,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,44831,J,92,J,793,H,3510,20,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,448310,J,92,J,793,H,3510,20,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,451,G,497,G,2777,G,11719,43,13,13,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4511,G,464,G,2586,G,10814,39,11,12,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45111,G,270,G,1633,G,6775,23,5,9,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,451110,G,270,G,1633,G,6775,23,5,9,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45112,G,148,G,780,G,3314,12,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,451120,G,148,G,780,G,3314,12,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4512,J,33,H,191,H,905,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45121,J,33,H,191,H,905,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,451211,J,33,H,191,H,905,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,452,H,3454,H,31693,H,122819,38,NA,4,12,7,NA,6,6,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4522,J,235,J,1581,J,6783,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45221,J,235,J,1581,J,6783,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,452210,J,235,J,1581,J,6783,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,4523,H,3219,H,30112,H,116036,35,NA,4,12,7,NA,5,6,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,45231,H,3219,H,30112,H,116036,35,NA,4,12,7,NA,5,6,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,452311,H,2802,J,28176,H,107858,11,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,06095,1,0
06,095,452319,H,417,H,1936,H,8178,24,NA,4,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,06095,1,0
