fips,county_name,statecode,state,STATE_FIPS,County_FIPS,region,czcty,fema,watershed,shore,shore100,Warehousing_TR_60,Minerals_LDB,urbaninfluence,NonParticipating,ruralurban,Warehousing_NAICS
26069,Iosco,26,MI,26,69,Great Lakes,1,1,1,1,0,1,0,11,1,7,6
26083,Keweenaw,26,MI,26,83,Great Lakes,1,1,1,1,0,1,0,8,1,9,6
26089,Leelanau,26,MI,26,89,Great Lakes,1,1,1,1,1,1,0,8,1,3,6
26095,Luce,26,MI,26,95,Great Lakes,1,1,1,1,1,1,0,9,1,9,6
26097,Mackinac,26,MI,26,97,Great Lakes,1,1,1,1,1,1,0,9,1,9,6
26099,Macomb,26,MI,26,99,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
26101,Manistee,26,MI,26,101,Great Lakes,1,1,1,1,0,1,0,9,1,6,6
26103,Marquette,26,MI,26,103,Great Lakes,1,1,1,1,0,1,0,8,1,5,6
26105,Mason,26,MI,26,105,Great Lakes,1,1,1,1,0,1,0,11,1,7,6
26109,Menominee,26,MI,26,109,Great Lakes,1,1,1,1,0,1,0,8,1,7,6
26115,Monroe,26,MI,26,115,Great Lakes,1,1,1,1,0,1,0,2,1,3,4
26121,Muskegon,26,MI,26,121,Great Lakes,1,1,1,1,0,1,0,2,1,3,4
26127,Oceana,26,MI,26,127,Great Lakes,1,1,1,1,0,1,0,7,1,8,4
26131,Ontonagon,26,MI,26,131,Great Lakes,1,1,1,1,0,1,0,10,1,9,6
26139,Ottawa,26,MI,26,139,Great Lakes,1,1,1,1,0,1,0,2,1,1,6
26141,Presque Isle,26,MI,26,141,Great Lakes,1,1,1,1,0,1,0,9,1,9,6
26145,Saginaw,26,MI,26,145,Great Lakes,1,0,1,0,0,1,0,2,1,3,4
26147,St. Clair,26,MI,26,147,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
26151,Sanilac,26,MI,26,151,Great Lakes,1,1,1,1,0,1,0,4,1,8,6
26153,Schoolcraft,26,MI,26,153,Great Lakes,1,1,1,1,1,1,0,9,1,9,6
26157,Tuscola,26,MI,26,157,Great Lakes,1,1,1,1,0,1,0,6,1,6,6
26159,Van Buren,26,MI,26,159,Great Lakes,1,1,1,1,0,1,0,2,1,6,4
26163,Wayne,26,MI,26,163,Great Lakes,1,1,1,1,0,1,0,1,1,1,6
27031,Cook,27,MN,27,31,Great Lakes,1,1,1,1,0,1,0,12,0,9,6
27075,Lake,27,MN,27,75,Great Lakes,1,1,1,1,0,1,0,6,0,8,6
27137,St. Louis,27,MN,27,137,Great Lakes,1,1,1,1,0,1,0,2,0,2,6
28045,Hancock,28,MS,28,45,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
28047,Harrison,28,MS,28,47,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
28059,Jackson,28,MS,28,59,Gulf of Mexico,1,1,1,1,0,1,0,2,0,2,6
33015,Rockingham,33,NH,33,15,Northeast,1,1,1,1,0,1,0,1,1,1,4
33017,Strafford,33,NH,33,17,Northeast,1,1,1,0,0,0,0,1,1,1,4
34001,Atlantic,34,NJ,34,1,Mid-Atlantic,1,1,1,1,0,1,0,2,0,2,4
34003,Bergen,34,NJ,34,3,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34005,Burlington,34,NJ,34,5,Mid-Atlantic,1,1,1,0,0,0,0,1,0,1,6
34007,Camden,34,NJ,34,7,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34009,Cape May,34,NJ,34,9,Mid-Atlantic,1,1,1,1,0,1,0,2,0,2,6
34011,Cumberland,34,NJ,34,11,Mid-Atlantic,1,1,1,1,0,1,0,2,0,3,6
34013,Essex,34,NJ,34,13,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34015,Gloucester,34,NJ,34,15,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34017,Hudson,34,NJ,34,17,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34023,Middlesex,34,NJ,34,23,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
34025,Monmouth,34,NJ,34,25,Mid-Atlantic,1,1,1,1,0,1,0,1,0,1,6
